municipality,population2020,totalcostperperson,healthcareperperson,basichealthcareperperson,specialhealthcareperperson
Akaa,16391,5466,3253,785,1063
Alajärvi,9419,7031,4143,754,1457
Alavieska,2517,6586,4154,963,1306
Alavus,11332,6864,4354,869,1643
Asikkala,8059,5907,3559,1030,1136
Askola,4878,5866,3248,478,1201
Aura,3959,5421,3209,606,1201
Enonkoski,1369,6995,4740,803,1825
Enontekiö,1808,8706,4950,1565,1412
Espoo,292796,5812,2867,604,1024
Eura,11483,6151,3740,752,1269
Eurajoki,9452,7061,3907,707,1288
Evijärvi,2408,7686,4519,618,1654
Forssa,16800,6321,4048,545,1664
Haapajärvi,6896,7255,4520,1146,1450
Haapavesi,6667,6985,4181,1113,1348
Hailuoto,949,7837,4978,1144,1752
Halsua,1103,7569,4464,790,1272
Hamina,19877,6431,4291,808,1498
Hankasalmi,4782,7183,4602,899,1359
Hanko,8042,6568,4277,774,1492
Harjavalta,6869,6845,4674,795,1605
Hartola,2655,7060,4777,886,1390
Hattula,9389,5355,3006,429,1209
Hausjärvi,8175,5665,3283,751,1269
Heinola,18497,6273,3996,802,1397
Heinävesi,3196,8179,5543,834,1691
Helsinki,656920,5637,3397,454,1219
Hirvensalmi,2156,7160,4853,656,1907
Hollola,23251,5726,3287,628,1285
Honkajoki,1595,6507,4186,928,1351
Huittinen,9937,6192,3766,700,1269
Humppila,2174,6086,3797,528,1500
Hyrynsalmi,2199,8506,5915,835,2437
Hyvinkää,46576,6073,3812,708,1415
Hämeenkyrö,10344,6062,3351,661,1253
Hämeenlinna,67848,6024,3787,631,1395
Ii,9848,6794,3667,880,1299
Iisalmi,21124,6491,4002,821,1370
Iitti,6625,6061,3927,757,1392
Ikaalinen,6866,6331,4074,881,1433
Ilmajoki,12294,6155,3470,652,1428
Ilomantsi,4749,7986,5450,1261,1505
Imatra,26075,6595,4131,751,1480
Inari,6862,7697,4616,1273,1462
Inkoo,5321,6108,3402,598,1363
Isojoki,1925,7114,5060,863,1432
Isokyrö,4471,6479,3951,768,1578
Janakkala,16237,5822,3418,720,1283
Joensuu,76935,5658,3428,621,1317
Jokioinen,5061,5744,3322,424,1406
Joroinen,4689,6334,4114,1001,1543
Joutsa,4297,7484,5210,1121,1400
Juuka,4527,7834,5478,1293,1356
Juupajoki,1800,6627,4127,547,1581
Juva,5932,7574,4790,1043,1720
Jyväskylä,143420,5402,3159,720,1042
Jämijärvi,1707,6332,3712,886,1226
Jämsä,19887,6801,4446,965,1231
Järvenpää,44455,5660,3372,706,1262
Kaarina,34667,5303,3041,575,1213
Kaavi,2807,7820,5697,1307,1708
Kajaani,36569,7620,4338,735,1985
Kalajoki,12400,6271,3581,834,1396
Kangasala,32214,5359,2934,635,983
Kangasniemi,5312,7024,4698,1097,1587
Kankaanpää,11163,6272,3723,798,1316
Kannonkoski,1323,8038,5039,1051,1270
Kannus,5426,6400,3858,794,1331
Karijoki,1207,7028,4832,817,1640
Karkkila,8696,6107,3890,832,1358
Karstula,3858,7019,4589,1145,1184
Karvia,2322,6655,4273,951,1360
Kaskinen,1278,7880,5042,1160,1776
Kauhajoki,13007,6918,4470,790,1553
Kauhava,15514,6937,4330,800,1507
